Timestamp	Tempo	Dados	Recebidos	da	Porta	Serial	Temperatura						
21/01/2025	14:58:13	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:58:13	-											
21/01/2025	14:58:18	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:18	-											
21/01/2025	14:58:18	-	MEGA	|	298.15	K							
21/01/2025	14:58:18	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:18	-											
21/01/2025	14:58:23	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:23	-											
21/01/2025	14:58:23	-	MEGA	|	298.15	K							
21/01/2025	14:58:23	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:23	-											
21/01/2025	14:58:28	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:28	-											
21/01/2025	14:58:28	-	MEGA	|	298.15	K							
21/01/2025	14:58:28	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:28	-											
21/01/2025	14:58:33	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:33	-											
21/01/2025	14:58:33	-	MEGA	|	298.15	K							
21/01/2025	14:58:33	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:33	-											
21/01/2025	14:58:38	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:58:38	-											
21/01/2025	14:58:38	-	MEGA	|	298.09	K							
21/01/2025	14:58:38	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:58:38	-											
21/01/2025	14:58:43	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:43	-											
21/01/2025	14:58:43	-	MEGA	|	298.15	K							
21/01/2025	14:58:43	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:43	-											
21/01/2025	14:58:43	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	156731	
21/01/2025	14:58:48	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:48	-											
21/01/2025	14:58:48	-	MEGA	|	298.15	K							
21/01/2025	14:58:48	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:48	-											
21/01/2025	14:58:53	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:53	-											
21/01/2025	14:58:53	-	MEGA	|	298.15	K							
21/01/2025	14:58:53	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:53	-											
21/01/2025	14:58:58	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:58	-											
21/01/2025	14:58:58	-	MEGA	|	298.15	K							
21/01/2025	14:58:58	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:58	-											
21/01/2025	14:59:03	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:03	-											
21/01/2025	14:59:03	-	MEGA	|	298.15	K							
21/01/2025	14:59:03	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:03	-											
21/01/2025	14:59:08	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:08	-											
21/01/2025	14:59:08	-	MEGA	|	298.15	K							
21/01/2025	14:59:08	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:08	-											
21/01/2025	14:59:13	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:13	-											
21/01/2025	14:59:13	-	MEGA	|	298.15	K							
21/01/2025	14:59:13	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:13	-											
21/01/2025	14:59:13	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	186729	
21/01/2025	14:59:13	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	186729	
21/01/2025	14:59:18	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:18	-											
21/01/2025	14:59:18	-	MEGA	|	298.15	K							
21/01/2025	14:59:18	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:18	-											
21/01/2025	14:59:23	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:23	-											
21/01/2025	14:59:23	-	MEGA	|	298.15	K							
21/01/2025	14:59:23	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:23	-											
21/01/2025	14:59:28	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:28	-											
21/01/2025	14:59:28	-	MEGA	|	298.15	K							
21/01/2025	14:59:28	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:28	-											
21/01/2025	14:59:33	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:33	-											
21/01/2025	14:59:33	-	MEGA	|	298.15	K							
21/01/2025	14:59:33	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:33	-											
21/01/2025	14:59:38	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:38	-											
21/01/2025	14:59:38	-	MEGA	|	298.15	K							
21/01/2025	14:59:38	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:38	-											
21/01/2025	14:59:43	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:43	-											
21/01/2025	14:59:43	-	MEGA	|	298.15	K							
21/01/2025	14:59:43	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:43	-											
21/01/2025	14:59:48	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:48	-											
21/01/2025	14:59:48	-	MEGA	|	298.15	K							
21/01/2025	14:59:48	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:48	-											
21/01/2025	14:59:53	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:53	-											
21/01/2025	14:59:53	-	MEGA	|	298.15	K							
21/01/2025	14:59:53	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:53	-											
21/01/2025	14:59:58	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:59:58	-											
21/01/2025	14:59:58	-	MEGA	|	298.15	K							
21/01/2025	14:59:58	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:59:58	-											
21/01/2025	14:59:58	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	231727	
21/01/2025	14:59:58	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	231727	
21/01/2025	15:00:03	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:03	-											
21/01/2025	15:00:03	-	MEGA	|	298.15	K							
21/01/2025	15:00:03	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:03	-											
21/01/2025	15:00:08	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:08	-											
21/01/2025	15:00:08	-	MEGA	|	298.15	K							
21/01/2025	15:00:08	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:08	-											
21/01/2025	15:00:13	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:00:13	-											
21/01/2025	15:00:13	-	MEGA	|	298.21	K							
21/01/2025	15:00:13	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:00:13	-											
21/01/2025	15:00:18	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:18	-											
21/01/2025	15:00:18	-	MEGA	|	298.15	K							
21/01/2025	15:00:18	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:18	-											
21/01/2025	15:00:23	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:23	-											
21/01/2025	15:00:23	-	MEGA	|	298.15	K							
21/01/2025	15:00:23	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:23	-											
21/01/2025	15:00:28	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:28	-											
21/01/2025	15:00:28	-	MEGA	|	298.15	K							
21/01/2025	15:00:28	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:28	-											
21/01/2025	15:00:33	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:33	-											
21/01/2025	15:00:33	-	MEGA	|	298.15	K							
21/01/2025	15:00:33	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:33	-											
21/01/2025	15:00:38	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:38	-											
21/01/2025	15:00:38	-	MEGA	|	298.15	K							
21/01/2025	15:00:38	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:38	-											
21/01/2025	15:00:43	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:00:43	-											
21/01/2025	15:00:43	-	MEGA	|	298.21	K							
21/01/2025	15:00:43	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:00:43	-											
21/01/2025	15:00:48	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:48	-											
21/01/2025	15:00:48	-	MEGA	|	298.15	K							
21/01/2025	15:00:48	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:48	-											
21/01/2025	15:00:53	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:53	-											
21/01/2025	15:00:53	-	MEGA	|	298.15	K							
21/01/2025	15:00:53	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:53	-											
21/01/2025	15:00:58	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:00:58	-											
21/01/2025	15:00:58	-	MEGA	|	298.15	K							
21/01/2025	15:00:58	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:00:58	-											
21/01/2025	15:01:03	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:01:03	-											
21/01/2025	15:01:03	-	MEGA	|	298.15	K							
21/01/2025	15:01:03	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:01:03	-											
21/01/2025	15:01:08	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:08	-											
21/01/2025	15:01:08	-	MEGA	|	298.21	K							
21/01/2025	15:01:08	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:08	-											
21/01/2025	15:01:13	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:13	-											
21/01/2025	15:01:13	-	MEGA	|	298.21	K							
21/01/2025	15:01:13	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:13	-											
21/01/2025	15:01:18	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:18	-											
21/01/2025	15:01:18	-	MEGA	|	298.21	K							
21/01/2025	15:01:18	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:18	-											
21/01/2025	15:01:23	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:01:23	-											
21/01/2025	15:01:23	-	MEGA	|	298.15	K							
21/01/2025	15:01:23	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:01:23	-											
21/01/2025	15:01:28	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:28	-											
21/01/2025	15:01:28	-	MEGA	|	298.21	K							
21/01/2025	15:01:28	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:28	-											
21/01/2025	15:01:33	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:01:33	-											
21/01/2025	15:01:33	-	MEGA	|	298.15	K							
21/01/2025	15:01:33	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:01:33	-											
21/01/2025	15:01:33	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	326722	
21/01/2025	15:01:33	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	326722	
21/01/2025	15:01:38	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:38	-											
21/01/2025	15:01:38	-	MEGA	|	298.21	K							
21/01/2025	15:01:38	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:38	-											
21/01/2025	15:01:43	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:43	-											
21/01/2025	15:01:43	-	MEGA	|	298.21	K							
21/01/2025	15:01:43	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:43	-											
21/01/2025	15:01:48	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:48	-											
21/01/2025	15:01:48	-	MEGA	|	298.21	K							
21/01/2025	15:01:48	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:48	-											
21/01/2025	15:01:53	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:01:53	-											
21/01/2025	15:01:53	-	MEGA	|	298.15	K							
21/01/2025	15:01:53	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:01:53	-											
21/01/2025	15:01:58	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:01:58	-											
21/01/2025	15:01:58	-	MEGA	|	298.21	K							
21/01/2025	15:01:58	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:01:58	-											
21/01/2025	15:02:03	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:03	-											
21/01/2025	15:02:03	-	MEGA	|	298.21	K							
21/01/2025	15:02:03	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:03	-											
21/01/2025	15:02:08	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:02:08	-											
21/01/2025	15:02:08	-	MEGA	|	298.15	K							
21/01/2025	15:02:08	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:02:08	-											
21/01/2025	15:02:13	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:13	-											
21/01/2025	15:02:13	-	MEGA	|	298.21	K							
21/01/2025	15:02:13	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:13	-											
21/01/2025	15:02:18	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:18	-											
21/01/2025	15:02:18	-	MEGA	|	298.21	K							
21/01/2025	15:02:18	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:18	-											
21/01/2025	15:02:18	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	371719	
21/01/2025	15:02:18	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	371719	
21/01/2025	15:02:23	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:23	-											
21/01/2025	15:02:23	-	MEGA	|	298.21	K							
21/01/2025	15:02:23	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:23	-											
21/01/2025	15:02:28	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:02:28	-											
21/01/2025	15:02:28	-	MEGA	|	298.15	K							
21/01/2025	15:02:28	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:02:28	-											
21/01/2025	15:02:33	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:33	-											
21/01/2025	15:02:33	-	MEGA	|	298.21	K							
21/01/2025	15:02:33	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:33	-											
21/01/2025	15:02:38	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:38	-											
21/01/2025	15:02:38	-	MEGA	|	298.21	K							
21/01/2025	15:02:38	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:38	-											
21/01/2025	15:02:43	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:43	-											
21/01/2025	15:02:43	-	MEGA	|	298.21	K							
21/01/2025	15:02:43	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:43	-											
21/01/2025	15:02:48	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:48	-											
21/01/2025	15:02:48	-	MEGA	|	298.21	K							
21/01/2025	15:02:48	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:48	-											
21/01/2025	15:02:53	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:02:53	-											
21/01/2025	15:02:53	-	MEGA	|	298.21	K							
21/01/2025	15:02:53	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:02:53	-											
21/01/2025	15:02:58	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:02:58	-											
21/01/2025	15:02:58	-	MEGA	|	298.15	K							
21/01/2025	15:02:58	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:02:58	-											
21/01/2025	15:03:03	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:03	-											
21/01/2025	15:03:03	-	MEGA	|	298.21	K							
21/01/2025	15:03:03	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:03	-											
21/01/2025	15:03:08	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	15:03:08	-											
21/01/2025	15:03:08	-	MEGA	|	298.15	K							
21/01/2025	15:03:08	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	15:03:08	-											
21/01/2025	15:03:08	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	421717	
21/01/2025	15:03:08	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	421717	
21/01/2025	15:03:13	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:13	-											
21/01/2025	15:03:13	-	MEGA	|	298.21	K							
21/01/2025	15:03:13	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:13	-											
21/01/2025	15:03:18	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:18	-											
21/01/2025	15:03:18	-	MEGA	|	298.21	K							
21/01/2025	15:03:18	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:18	-											
21/01/2025	15:03:23	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:23	-											
21/01/2025	15:03:23	-	MEGA	|	298.21	K							
21/01/2025	15:03:23	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:23	-											
21/01/2025	15:03:28	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:28	-											
21/01/2025	15:03:28	-	MEGA	|	298.21	K							
21/01/2025	15:03:28	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:28	-											
21/01/2025	15:03:33	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:33	-											
21/01/2025	15:03:33	-	MEGA	|	298.21	K							
21/01/2025	15:03:33	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:33	-											
21/01/2025	15:03:38	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:38	-											
21/01/2025	15:03:38	-	MEGA	|	298.21	K							
21/01/2025	15:03:38	-	ESP	|	Temperatura	=	298,21	K					
21/01/2025	15:03:38	-											
21/01/2025	15:03:43	-	MEGA	|	Temperatura	=	298.21	K					
21/01/2025	15:03:43	-											
21/01/2025	15:03:43	-	MEGA	|	298.21	K							
21/01/2025	15:03:43	-	ESP	|	Temperatura	=	298,21	K					
